;;Catálogo de indicadores económicos disponibles a consultar;
39180;                    NP003;NP003;Mensual
39181;                    NP004;NP004;Mensual
39182;                    NP005;NP005;Mensual
39183;                    NP006;NP006;Mensual
39184;                    NP007;NP007;Mensual
39185;                    NP008;NP008;Mensual
39186;                    NP009;NP009;Mensual
39187;                    NP010;NP010;Mensual
39188;                    NP011;NP011;Mensual
39189;                    NP012;NP012;Mensual
39190;                    NP013;NP013;Mensual
39191;                    NP014;NP014;Mensual
39192;                    NP015;NP015;Mensual
39193;                    NP016;NP016;Mensual
39194;                    NP017;NP017;Mensual
39195;                    NP018;NP018;Mensual
39196;                    NP019;NP019;Mensual
39197;                    NP020;NP020;Mensual
39198;                    NP021;NP021;Mensual
39199;                    NP022;NP022;Mensual
39200;                    NP023;NP023;Mensual
39201;                    NP024;NP024;Mensual
39202;                    NP025;NP025;Mensual
39203;                    NP026;NP026;Mensual
39204;                    NP027;NP027;Mensual
39205;                    NP028;NP028;Mensual
39206;                    NP029;NP029;Mensual
39207;                    NP030;NP030;Mensual
39208;                    NP031;NP031;Mensual
39209;                    NP032;NP032;Mensual
39210;                    NP033;NP033;Mensual
39211;                    NP034;NP034;Mensual
39212;                    NP035;NP035;Mensual
39213;                    NP036;NP036;Mensual
39214;                    NP037;NP037;Mensual
39215;                    NP038;NP038;Mensual
39216;                    NP039;NP039;Mensual
39217;                    NP040;NP040;Mensual
39218;                    NP041;NP041;Mensual
39219;                    NP042;NP042;Mensual
39220;                    NP043;NP043;Mensual
39221;                    NP044;NP044;Mensual
39222;                    NP045;NP045;Mensual
39223;                    NP046;NP046;Mensual
39224;                    NP047;NP047;Mensual
39225;                    NP048;NP048;Mensual
39226;                    NP049;NP049;Mensual
39227;                    NP050;NP050;Mensual
39228;                    NP051;NP051;Mensual
39229;                    NP052;NP052;Mensual
39230;                    NP053;NP053;Mensual
39231;                    NP054;NP054;Mensual
39232;                    NP055;NP055;Mensual
39233;                    NP056;NP056;Mensual
39234;                    NP057;NP057;Mensual
39235;                    NP058;NP058;Mensual
39236;                    NP059;NP059;Mensual
39237;                    NP060;NP060;Mensual
39238;                    NP061;NP061;Mensual
39239;                    NP062;NP062;Mensual
39240;                    NP063;NP063;Mensual
39241;                    NP064;NP064;Mensual
39242;                    NP065;NP065;Mensual
